Channel              :,CH1,CH2
Frequency            :,3.021kHz,3.021kHz
Period               :,0.331ms,0.331ms
PK-PK                :,5.313V,632.8mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.488281mV
Time interval        :,0.20000uS,0.20000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,2031.250000,617.187500
2,2031.250000,617.187500
3,2031.250000,617.187500
4,2031.250000,617.187500
5,2031.250000,625.000000
6,2031.250000,617.187500
7,2031.250000,625.000000
8,2031.250000,617.187500
9,2031.250000,625.000000
10,2031.250000,625.000000
11,2031.250000,625.000000
12,2031.250000,625.000000
13,2031.250000,625.000000
14,2031.250000,625.000000
15,2031.250000,625.000000
16,2031.250000,625.000000
17,2031.250000,625.000000
18,2031.250000,625.000000
19,2031.250000,625.000000
20,2031.250000,625.000000
21,2031.250000,625.000000
22,2031.250000,625.000000
23,2031.250000,625.000000
24,2031.250000,625.000000
25,2031.250000,625.000000
26,2031.250000,625.000000
27,2031.250000,625.000000
28,2031.250000,625.000000
29,2031.250000,625.000000
30,2031.250000,625.000000
31,2031.250000,625.000000
32,2031.250000,625.000000
33,2031.250000,625.000000
34,2031.250000,617.187500
35,2031.250000,625.000000
36,2031.250000,625.000000
37,2031.250000,617.187500
38,2031.250000,617.187500
39,2031.250000,625.000000
40,2031.250000,617.187500
41,2031.250000,617.187500
42,2031.250000,617.187500
43,2031.250000,617.187500
44,2031.250000,617.187500
45,2031.250000,625.000000
46,2031.250000,617.187500
47,2031.250000,617.187500
48,2031.250000,617.187500
49,2031.250000,617.187500
50,2031.250000,617.187500
51,1953.125000,617.187500
52,2031.250000,617.187500
53,2031.250000,617.187500
54,2031.250000,617.187500
55,2031.250000,617.187500
56,2031.250000,617.187500
57,2031.250000,617.187500
58,2031.250000,617.187500
59,2031.250000,617.187500
60,2031.250000,617.187500
61,2031.250000,617.187500
62,2031.250000,617.187500
63,2031.250000,617.187500
64,2031.250000,617.187500
65,2031.250000,617.187500
66,2031.250000,617.187500
67,2031.250000,617.187500
68,2031.250000,617.187500
69,2031.250000,617.187500
70,2031.250000,617.187500
71,2031.250000,617.187500
72,1953.125000,617.187500
73,2031.250000,617.187500
74,2031.250000,617.187500
75,2031.250000,617.187500
76,2031.250000,617.187500
77,2031.250000,617.187500
78,2031.250000,617.187500
79,2031.250000,617.187500
80,2031.250000,617.187500
81,2031.250000,617.187500
82,2031.250000,617.187500
83,2031.250000,617.187500
84,2031.250000,617.187500
85,2031.250000,617.187500
86,1953.125000,617.187500
87,2031.250000,617.187500
88,2031.250000,617.187500
89,2031.250000,617.187500
90,2031.250000,617.187500
91,2031.250000,617.187500
92,2031.250000,617.187500
93,2031.250000,617.187500
94,2031.250000,617.187500
95,2031.250000,617.187500
96,2031.250000,617.187500
97,2031.250000,617.187500
98,2031.250000,617.187500
99,2031.250000,617.187500
100,2031.250000,617.187500
101,2031.250000,617.187500
102,2031.250000,617.187500
103,2031.250000,617.187500
104,2031.250000,617.187500
105,2031.250000,617.187500
106,2031.250000,617.187500
107,2031.250000,617.187500
108,2031.250000,617.187500
109,2031.250000,617.187500
110,2031.250000,617.187500
111,2031.250000,617.187500
112,2031.250000,617.187500
113,2031.250000,617.187500
114,2031.250000,617.187500
115,2031.250000,617.187500
116,2031.250000,617.187500
117,2031.250000,617.187500
118,2031.250000,617.187500
119,2031.250000,617.187500
120,2031.250000,617.187500
121,2031.250000,617.187500
122,2031.250000,617.187500
123,2031.250000,617.187500
124,2031.250000,617.187500
125,2031.250000,617.187500
126,2031.250000,617.187500
127,2031.250000,625.000000
128,2031.250000,625.000000
129,2031.250000,625.000000
130,2031.250000,625.000000
131,2031.250000,625.000000
132,2031.250000,625.000000
133,1953.125000,625.000000
134,1250.000000,625.000000
135,-2109.375000,625.000000
136,-2968.750000,632.812500
137,-3125.000000,632.812500
138,-3203.125000,632.812500
139,-3203.125000,625.000000
140,-3203.125000,625.000000
141,-3125.000000,617.187500
142,-3125.000000,609.375000
143,-3125.000000,601.562500
144,-3125.000000,593.750000
145,-3125.000000,578.125000
146,-3125.000000,570.312500
147,-3125.000000,562.500000
148,-3125.000000,546.875000
149,-3125.000000,539.062500
150,-3125.000000,523.437500
151,-3125.000000,515.625000
152,-3125.000000,500.000000
153,-3125.000000,492.187500
154,-3125.000000,484.375000
155,-3125.000000,468.750000
156,-3125.000000,460.937500
157,-3125.000000,453.125000
158,-3125.000000,437.500000
159,-3125.000000,429.687500
160,-3125.000000,421.875000
161,-3125.000000,414.062500
162,-3125.000000,398.437500
163,-3125.000000,390.625000
164,-3125.000000,382.812500
165,-3125.000000,375.000000
166,-3125.000000,367.187500
167,-3125.000000,359.375000
168,-3125.000000,351.562500
169,-3125.000000,343.750000
170,-3125.000000,328.125000
171,-3125.000000,320.312500
172,-3125.000000,312.500000
173,-3125.000000,312.500000
174,-3125.000000,296.875000
175,-3125.000000,296.875000
176,-3125.000000,289.062500
177,-3125.000000,281.250000
178,-3125.000000,273.437500
179,-3125.000000,265.625000
180,-3125.000000,257.812500
181,-3125.000000,257.812500
182,-3125.000000,250.000000
183,-3125.000000,242.187500
184,-3125.000000,234.375000
185,-3125.000000,234.375000
186,-3125.000000,226.562500
187,-3125.000000,218.750000
188,-3125.000000,218.750000
189,-3125.000000,210.937500
190,-3125.000000,203.125000
191,-3125.000000,203.125000
192,-3125.000000,203.125000
193,-3125.000000,195.312500
194,-3125.000000,187.500000
195,-3125.000000,187.500000
196,-3125.000000,179.687500
197,-3125.000000,179.687500
198,-3125.000000,171.875000
199,-3125.000000,171.875000
200,-3125.000000,164.062500
201,-3125.000000,164.062500
202,-3125.000000,156.250000
203,-3125.000000,156.250000
204,-3125.000000,148.437500
205,-3125.000000,148.437500
206,-3125.000000,140.625000
207,-3125.000000,140.625000
208,-3125.000000,140.625000
209,-3125.000000,132.812500
