Channel,CH1,CH2
Frequency            :,  ?,5.668kHz
Period               :,  ?,0.176ms
PK-PK                :,3.047V,82.81mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,4.882813mV,0.048828mV
Time interval        :,1.00000uS,1.00000uS
index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-1406.250000,20.312500
2,-1406.250000,20.312500
3,-1406.250000,21.875000
4,-1406.250000,22.656250
5,-1406.250000,20.312500
6,-1406.250000,20.312500
7,-1406.250000,17.187500
8,-1406.250000,12.500000
9,-1406.250000,5.468750
10,-1406.250000,1.562500
11,-1406.250000,-3.125000
12,-1406.250000,-5.468750
13,-1406.250000,-8.593750
14,-1406.250000,-6.250000
15,-1406.250000,-4.687500
16,-1406.250000,-1.562500
17,-1406.250000,-0.781250
18,-1406.250000,2.343750
19,-1406.250000,3.125000
20,-1406.250000,2.343750
21,-1406.250000,-0.781250
22,-1406.250000,-0.781250
23,-1406.250000,-0.781250
24,-1406.250000,2.343750
25,-1406.250000,7.812500
26,-1406.250000,17.187500
27,-1406.250000,25.781250
28,-1406.250000,31.250000
29,-1406.250000,33.593750
30,-1406.250000,33.593750
31,-1406.250000,30.468750
32,-1406.250000,26.562500
33,-1406.250000,20.312500
34,-1406.250000,17.968750
35,-1406.250000,13.281250
36,-1406.250000,10.937500
37,-1406.250000,7.031250
38,-1406.250000,7.031250
39,-1406.250000,3.125000
40,-1406.250000,0.781250
41,-1406.250000,-3.125000
42,-1406.250000,-4.687500
43,-1406.250000,-7.812500
44,-1406.250000,-10.156250
45,-1406.250000,-10.937500
46,-1406.250000,-10.156250
47,-1406.250000,-7.812500
48,-1406.250000,-3.906250
49,-1406.250000,0.781250
50,-1406.250000,5.468750
51,-1406.250000,5.468750
52,-1406.250000,8.593750
53,-1406.250000,9.375000
54,-1406.250000,10.937500
55,-1406.250000,10.156250
56,-1406.250000,10.937500
57,-1406.250000,9.375000
58,-1406.250000,9.375000
59,-1406.250000,6.250000
60,-1406.250000,7.812500
61,-1406.250000,8.593750
62,-1406.250000,10.937500
63,-1406.250000,11.718750
64,-1406.250000,15.625000
65,-1406.250000,14.843750
66,-1406.250000,14.062500
67,-1406.250000,11.718750
68,-1406.250000,10.937500
69,-1406.250000,7.812500
70,-1406.250000,4.687500
71,-1406.250000,0.781250
72,-1406.250000,0.781250
73,-1406.250000,-0.781250
74,-1406.250000,-0.781250
75,-1406.250000,-1.562500
76,-1406.250000,1.562500
77,-1406.250000,2.343750
78,-1406.250000,6.250000
79,-1406.250000,9.375000
80,-1406.250000,14.062500
81,-1406.250000,14.843750
82,-1406.250000,17.187500
83,-1406.250000,17.968750
84,-1406.250000,18.750000
85,-1406.250000,15.625000
86,-1406.250000,14.843750
87,-1406.250000,12.500000
88,-1406.250000,10.937500
89,-1406.250000,7.812500
90,-1406.250000,7.031250
91,-1406.250000,5.468750
92,-1406.250000,6.250000
93,-1406.250000,4.687500
94,-1406.250000,7.812500
95,-1406.250000,7.031250
96,-1406.250000,10.156250
97,-1406.250000,11.718750
98,-1406.250000,14.062500
99,-1406.250000,13.281250
100,-1406.250000,12.500000
101,-1406.250000,9.375000
102,-1406.250000,8.593750
103,-1406.250000,3.906250
104,-1406.250000,0.781250
105,-1406.250000,-2.343750
106,-1406.250000,-1.562500
107,-1406.250000,-3.125000
108,-1406.250000,0.000000
109,-1406.250000,3.906250
110,-1406.250000,10.937500
111,-1406.250000,13.281250
112,-1406.250000,15.625000
113,-1406.250000,13.281250
114,-1406.250000,10.156250
115,-1406.250000,2.343750
116,-1406.250000,-3.125000
117,-1406.250000,-8.593750
118,-1406.250000,-12.500000
119,-1406.250000,-16.406250
120,-1406.250000,-15.625000
121,-1406.250000,-12.500000
122,-1406.250000,-5.468750
123,-1406.250000,-0.781250
124,-1406.250000,4.687500
125,-1406.250000,8.593750
126,-1406.250000,14.843750
127,-1406.250000,14.843750
128,-1406.250000,15.625000
129,-1406.250000,14.062500
130,-1406.250000,14.062500
131,-1406.250000,12.500000
132,-1406.250000,14.062500
133,-1406.250000,14.062500
134,-1406.250000,16.406250
135,-1406.250000,17.187500
136,-1406.250000,21.093750
137,-1406.250000,23.437500
138,-1406.250000,24.218750
139,-1406.250000,23.437500
140,-1406.250000,23.437500
141,-1406.250000,19.531250
142,-1406.250000,15.625000
143,-1406.250000,9.375000
144,-1406.250000,4.687500
145,-1406.250000,-0.781250
146,-1406.250000,-2.343750
147,-1406.250000,-3.906250
148,-1406.250000,-3.125000
149,-1406.250000,-3.125000
150,-1406.250000,2.343750
151,-1406.250000,7.031250
152,-1406.250000,11.718750
153,-1406.250000,13.281250
154,-1406.250000,17.187500
155,-1406.250000,14.843750
156,-1406.250000,13.281250
157,-1406.250000,7.812500
158,-1406.250000,5.468750
159,-1406.250000,-0.781250
160,-1406.250000,-2.343750
161,-1406.250000,-3.125000
162,-1406.250000,-2.343750
163,-1406.250000,-3.906250
164,-1406.250000,-2.343750
165,-1406.250000,-1.562500
166,-1406.250000,1.562500
167,-1406.250000,1.562500
168,-1406.250000,3.906250
169,-1406.250000,4.687500
170,-1406.250000,6.250000
171,-1406.250000,6.250000
172,-1406.250000,8.593750
173,-1406.250000,8.593750
174,-1406.250000,9.375000
175,-1406.250000,8.593750
176,-1406.250000,11.718750
177,-1406.250000,10.937500
178,-1406.250000,11.718750
179,-1406.250000,10.937500
180,-1406.250000,12.500000
181,-1406.250000,14.062500
182,-1406.250000,14.062500
183,-1406.250000,14.062500
184,-1406.250000,15.625000
185,-1406.250000,14.062500
186,-1406.250000,13.281250
187,-1406.250000,11.718750
188,-1406.250000,8.593750
189,-1406.250000,1.562500
190,-1406.250000,-6.250000
191,-1406.250000,-10.937500
192,-1406.250000,-14.062500
193,-1406.250000,-11.718750
194,-1406.250000,-6.250000
195,-1406.250000,3.906250
196,-1406.250000,12.500000
197,-1406.250000,20.312500
198,-1406.250000,24.218750
199,-1406.250000,26.562500
200,-1406.250000,25.000000
201,-1406.250000,22.656250
202,-1406.250000,20.312500
203,-1406.250000,17.187500
204,-1406.250000,13.281250
205,-1406.250000,11.718750
206,-1406.250000,12.500000
207,-1406.250000,14.843750
208,-1406.250000,14.843750
209,-1406.250000,14.843750
210,-1406.250000,13.281250
211,-1406.250000,10.156250
212,-1406.250000,4.687500
213,-1406.250000,1.562500
214,-1406.250000,-3.125000
215,-1406.250000,-7.031250
216,-1406.250000,-8.593750
217,-1406.250000,-7.812500
218,-1406.250000,-7.812500
219,-1406.250000,-5.468750
220,-1406.250000,-3.125000
221,-1406.250000,-1.562500
222,-1406.250000,0.000000
223,-1406.250000,4.687500
224,-1406.250000,3.906250
225,-1406.250000,3.125000
226,-1406.250000,1.562500
227,-1406.250000,3.125000
228,-1406.250000,3.125000
229,-1406.250000,4.687500
230,-1406.250000,7.031250
231,-1406.250000,12.500000
232,-1406.250000,14.843750
233,-1406.250000,20.312500
234,-1406.250000,23.437500
235,-1406.250000,26.562500
236,-1406.250000,25.000000
237,-1406.250000,22.656250
238,-1406.250000,16.406250
239,-1406.250000,10.156250
240,-1406.250000,0.781250
241,-1406.250000,-3.125000
242,-1406.250000,-10.156250
243,-1406.250000,-13.281250
244,-1406.250000,-13.281250
245,-1406.250000,-10.937500
246,-1406.250000,-10.156250
247,-1406.250000,-5.468750
248,-1406.250000,-1.562500
249,-1406.250000,3.125000
250,-1406.250000,5.468750
251,-1406.250000,8.593750
252,-1406.250000,9.375000
253,-1406.250000,10.937500
254,-1406.250000,9.375000
255,-1406.250000,13.281250
256,-1406.250000,12.500000
257,-1406.250000,14.062500
258,-1406.250000,13.281250
259,-1406.250000,16.406250
260,-1406.250000,16.406250
261,-1406.250000,18.750000
262,-1406.250000,17.968750
263,-1406.250000,19.531250
264,-1406.250000,17.968750
265,-1406.250000,17.187500
266,-1406.250000,14.062500
267,-1406.250000,10.156250
268,-1406.250000,1.562500
269,-1406.250000,-5.468750
270,-1406.250000,-10.937500
271,-1406.250000,-13.281250
272,-1406.250000,-17.968750
273,-1406.250000,-18.750000
274,-1406.250000,-16.406250
275,-1406.250000,-10.156250
276,-1406.250000,-3.125000
277,-1406.250000,6.250000
278,-1406.250000,18.750000
279,-1406.250000,29.687500
280,-1406.250000,35.937500
281,-1406.250000,39.843750
282,-1406.250000,38.281250
283,-1406.250000,31.250000
284,-1406.250000,19.531250
285,-1406.250000,7.812500
286,-1406.250000,-3.906250
287,-1406.250000,-14.843750
288,-1406.250000,-20.312500
289,-1406.250000,-21.875000
290,-1406.250000,-18.750000
291,-1406.250000,-16.406250
292,-1406.250000,-10.156250
293,-1406.250000,-5.468750
294,-1406.250000,-1.562500
295,-1406.250000,-1.562500
296,-1406.250000,0.781250
297,-1406.250000,0.000000
298,-1406.250000,0.000000
299,-1406.250000,-1.562500
300,-1406.250000,0.781250
301,-1406.250000,0.781250
302,-1406.250000,7.031250
303,-1406.250000,13.281250
304,-1406.250000,22.656250
305,-1406.250000,27.343750
306,-1406.250000,33.593750
307,-1406.250000,37.500000
308,-1406.250000,40.625000
309,-1406.250000,39.062500
310,-1406.250000,38.281250
311,-1406.250000,33.593750
312,-1406.250000,28.906250
313,-1406.250000,19.531250
314,-1406.250000,13.281250
315,-1406.250000,3.906250
316,-1406.250000,-3.125000
317,-1406.250000,-10.156250
318,-1406.250000,-10.937500
319,-1406.250000,-12.500000
320,-1406.250000,-11.718750
321,-1406.250000,-9.375000
322,-1406.250000,-6.250000
323,-1406.250000,-4.687500
324,-1406.250000,-3.125000
325,-1406.250000,-0.781250
326,-1406.250000,1.562500
327,-1406.250000,0.781250
328,-1406.250000,0.781250
329,-1406.250000,0.781250
330,-1406.250000,1.562500
331,-1406.250000,3.125000
332,-1406.250000,5.468750
333,-1406.250000,10.156250
334,-1406.250000,12.500000
335,-1406.250000,14.843750
336,-1406.250000,16.406250
337,-1406.250000,18.750000
338,-1406.250000,17.968750
339,-1406.250000,15.625000
340,-1406.250000,12.500000
341,-1406.250000,11.718750
342,-1406.250000,4.687500
343,-1406.250000,1.562500
344,-1406.250000,-3.125000
345,-1406.250000,-4.687500
346,-1406.250000,-7.812500
347,-1406.250000,-6.250000
348,-1406.250000,-4.687500
349,-1406.250000,-1.562500
350,-1406.250000,0.000000
351,-1406.250000,4.687500
352,-1406.250000,8.593750
353,-1406.250000,10.156250
354,-1406.250000,10.156250
355,-1406.250000,10.937500
356,-1406.250000,7.031250
357,-1406.250000,3.906250
358,-1406.250000,-0.781250
359,-1406.250000,-3.906250
360,-1406.250000,-7.031250
361,-1406.250000,-3.906250
362,-1406.250000,3.906250
363,-1406.250000,14.062500
364,-1406.250000,24.218750
365,-1406.250000,33.593750
366,-1406.250000,37.500000
367,-1406.250000,35.937500
368,-1406.250000,27.343750
369,-1406.250000,18.750000
370,-1406.250000,9.375000
371,-1406.250000,0.781250
372,-1406.250000,-3.906250
373,-1406.250000,-4.687500
374,-1406.250000,-1.562500
375,-1406.250000,0.781250
376,-1406.250000,6.250000
377,-1406.250000,10.156250
378,-1406.250000,10.937500
379,-1406.250000,8.593750
380,-1406.250000,6.250000
381,-1406.250000,0.781250
382,-1406.250000,-3.906250
383,-1406.250000,-7.812500
384,-1406.250000,-7.031250
385,-1406.250000,-6.250000
386,-1406.250000,-2.343750
387,-1406.250000,0.000000
