Channel              :		CH1		CH2
Frequency            :		1.381kHz		  ?
Period               :		0.724ms		  ?
PK-PK                :		703.1mV		5.469mV
Probe attenuation    :		1X		1X
Voltage per ADC value:		4.882813mV		0.012207mV
Time interval        :		0.20000uS		0.20000uS

index		CH1_Voltage(mV)		CH2_Voltage(mV)
1		-312.500000		1.757813
2		-312.500000		1.757813
3		-312.500000		2.343750
4		-312.500000		2.343750
5		-312.500000		1.953125
6		-312.500000		1.953125
7		-312.500000		1.367188
8		-312.500000		1.367188
9		-312.500000		0.390625
10		-312.500000		1.953125
11		-312.500000		1.367188
12		-312.500000		2.734375
13		-312.500000		1.562500
14		-312.500000		1.757813
15		-312.500000		1.757813
16		-312.500000		1.757813
17		-312.500000		1.953125
18		-312.500000		2.148438
19		-312.500000		1.953125
20		-312.500000		1.953125
21		-312.500000		1.367188
22		-312.500000		1.953125
23		-312.500000		1.367188
24		-312.500000		2.734375
25		-312.500000		1.757813
26		-312.500000		2.734375
27		-312.500000		1.171875
28		-312.500000		2.148438
29		-312.500000		1.171875
30		-312.500000		1.757813
31		-312.500000		1.757813
32		-312.500000		2.539063
33		-312.500000		1.171875
34		-312.500000		1.171875
35		-312.500000		0.976563
36		-312.500000		1.367188
37		-312.500000		1.562500
38		-312.500000		2.539063
39		-312.500000		1.953125
40		-312.500000		2.929688
41		-312.500000		1.367188
42		-312.500000		2.148438
43		-312.500000		0.976563
44		-312.500000		1.953125
45		-312.500000		1.367188
46		-312.500000		2.539063
47		-312.500000		1.953125
48		-312.500000		2.148438
49		-312.500000		1.367188
50		-312.500000		1.367188
51		-312.500000		1.367188
52		-312.500000		1.757813
53		-312.500000		1.953125
54		-312.500000		2.734375
55		-312.500000		1.367188
56		-312.500000		2.539063
57		-312.500000		0.781250
58		-312.500000		1.757813
59		-312.500000		0.585938
60		-312.500000		2.148438
61		-312.500000		1.953125
62		-312.500000		2.734375
63		-312.500000		1.562500
64		-312.500000		2.148438
65		-312.500000		1.562500
66		-312.500000		1.757813
67		-312.500000		1.562500
68		-312.500000		2.343750
69		-312.500000		2.148438
70		-312.500000		2.929688
71		-312.500000		0.976563
72		-312.500000		2.148438
73		-312.500000		0.585938
74		-312.500000		2.343750
75		-312.500000		1.562500
76		-312.500000		2.734375
77		-312.500000		1.562500
78		-312.500000		1.953125
79		-312.500000		0.976563
80		-312.500000		1.562500
81		-312.500000		1.562500
82		-312.500000		2.148438
83		-312.500000		1.757813
84		-312.500000		2.539063
85		-312.500000		1.367188
86		-312.500000		2.343750
87		-312.500000		0.976563
88		-312.500000		1.953125
89		-312.500000		0.976563
90		-312.500000		3.125000
91		-312.500000		1.757813
92		-312.500000		2.539063
93		-312.500000		1.171875
94		-312.500000		1.757813
95		-312.500000		0.976563
96		-312.500000		1.953125
97		-312.500000		0.390625
98		-312.500000		1.953125
99		-312.500000		1.562500
100		-312.500000		2.148438
101		-312.500000		0.976563
102		-312.500000		1.953125
103		-312.500000		0.976563
104		-312.500000		2.539063
105		-312.500000		1.367188
106		-312.500000		2.734375
107		-312.500000		1.171875
108		-312.500000		1.953125
109		-312.500000		0.781250
110		-312.500000		1.757813
111		-312.500000		1.562500
112		-312.500000		2.343750
113		-312.500000		1.757813
114		-312.500000		1.953125
115		-312.500000		1.367188
116		-312.500000		1.757813
117		-312.500000		0.976563
118		-312.500000		1.953125
119		-312.500000		1.562500
120		-312.500000		2.539063
121		-312.500000		1.562500
122		-312.500000		2.734375
123		-312.500000		0.976563
124		-312.500000		2.148438
125		-312.500000		1.562500
126		-312.500000		2.343750
127		-312.500000		1.953125
128		-312.500000		2.343750
129		-312.500000		1.367188
130		-312.500000		1.562500
131		-312.500000		0.781250
132		-312.500000		1.757813
133		-312.500000		1.367188
134		-312.500000		2.539063
135		-312.500000		1.367188
136		-312.500000		2.343750
137		-312.500000		0.781250
138		-312.500000		1.953125
139		-312.500000		1.171875
140		-312.500000		2.539063
141		-312.500000		1.757813
142		-312.500000		2.539063
143		-312.500000		1.367188
144		-312.500000		1.562500
145		-312.500000		0.976563
146		-312.500000		1.562500
147		-312.500000		1.562500
148		-312.500000		2.539063
149		-312.500000		2.148438
150		-312.500000		2.343750
151		-312.500000		1.367188
152		-312.500000		1.953125
153		-312.500000		0.976563
154		-312.500000		2.539063
155		-312.500000		1.757813
156		-312.500000		2.734375
157		-312.500000		1.757813
158		-312.500000		1.953125
159		-312.500000		1.562500
160		-312.500000		1.367188
161		-312.500000		1.367188
162		-312.500000		1.953125
163		-312.500000		1.953125
164		-312.500000		2.343750
165		-312.500000		1.367188
166		-312.500000		1.953125
167		-312.500000		1.367188
168		-312.500000		2.343750
169		-312.500000		1.562500
170		-312.500000		2.734375
171		-312.500000		1.562500
172		-312.500000		2.343750
173		-312.500000		0.976563
174		-312.500000		1.757813
175		-312.500000		1.171875
176		-312.500000		1.953125
177		-312.500000		2.343750
178		-312.500000		2.343750
179		-312.500000		1.953125
180		-312.500000		1.757813
181		-312.500000		0.976563
182		-312.500000		1.562500
183		-312.500000		1.367188
184		-312.500000		2.539063
185		-312.500000		1.562500
186		-312.500000		2.539063
187		-312.500000		1.757813
188		-312.500000		1.953125
189		-312.500000		1.562500
190		-312.500000		1.757813
191		-312.500000		1.757813
192		-312.500000		1.757813
193		-312.500000		1.953125
194		-312.500000		1.757813
195		-312.500000		1.953125
196		-312.500000		1.757813
197		-312.500000		1.562500
198		-312.500000		1.757813
199		-312.500000		1.757813
200		-312.500000		2.734375
201		-312.500000		1.367188
202		-312.500000		2.148438
203		-312.500000		0.976563
204		-312.500000		1.757813
205		-312.500000		1.562500
206		-312.500000		2.343750
207		-312.500000		2.343750
208		-312.500000		2.539063
209		-312.500000		1.757813
210		-312.500000		1.367188
211		-312.500000		1.562500
212		-312.500000		1.562500
213		-312.500000		1.953125
214		-312.500000		2.148438
215		-312.500000		1.562500
216		-312.500000		1.953125
217		-312.500000		0.976563
218		-312.500000		1.757813
219		-312.500000		1.562500
220		-312.500000		2.343750
221		-312.500000		1.757813
222		-312.500000		2.148438
223		-312.500000		1.562500
224		-312.500000		1.367188
225		-312.500000		1.562500
226		-312.500000		1.562500
227		-312.500000		1.953125
228		-312.500000		2.148438
229		-312.500000		2.148438
230		-312.500000		1.953125
231		-312.500000		1.367188
232		-312.500000		1.367188
233		-312.500000		0.976563
234		-312.500000		2.539063
235		-312.500000		2.343750
236		-312.500000		2.343750
237		-312.500000		1.367188
238		-312.500000		1.757813
239		-312.500000		1.367188
240		-312.500000		1.367188
241		-312.500000		2.148438
242		-312.500000		2.148438
243		-312.500000		2.148438
244		-312.500000		1.953125
245		-312.500000		1.562500
246		-312.500000		1.757813
247		-312.500000		1.562500
248		-312.500000		1.953125
249		-312.500000		1.171875
250		-312.500000		2.343750
251		-312.500000		1.367188
